DATE,AvgTemp
2017-01-20,51.0
2017-01-21,45.0
2017-01-22,42.0
2017-01-23,40.0
2017-01-24,38.0
2017-01-25,40.0
2017-01-26,46.0
2017-01-27,51.0
2017-01-28,46.0
2017-01-29,43.0
2017-01-30,40.0
2017-01-31,43.0
2017-02-01,40.0
2017-02-02,41.0
2017-02-03,41.0
2017-02-04,43.0
2017-02-05,49.0
2017-02-06,48.0
2017-02-07,45.0
2017-02-08,46.0
2017-02-09,48.0
2017-02-10,50.0
2017-02-11,43.0
2017-02-12,43.0
2017-02-13,47.0
2017-02-14,50.0
2017-02-15,49.0
2017-02-16,47.0
2017-02-17,49.0
2017-02-18,45.0
2017-02-19,40.0
2017-02-20,37.0
2017-02-21,33.0
2017-02-22,35.0
2017-02-23,34.0
2017-02-24,35.0
2017-02-25,39.0
2017-02-26,40.0
2017-02-27,38.0
2017-02-28,39.0
2017-03-01,39.0
2017-03-02,41.0
2017-03-03,43.0
2017-03-04,43.0
2017-03-05,44.0
2017-03-06,42.0
2017-03-07,43.0
2017-03-08,43.0
2017-03-09,41.0
2017-03-10,41.0
2017-03-11,37.0
2017-03-12,38.0
2017-03-13,42.0
2017-03-14,45.0
2017-03-15,47.0
2017-03-16,45.0
2017-03-17,46.0
2017-03-18,49.0
2017-03-19,48.0
2017-03-20,47.0
2017-03-21,50.0
2017-03-22,51.0
2017-03-23,44.0
2017-03-24,48.0
2017-03-25,46.0
2017-03-26,46.0
2017-03-27,49.0
2017-03-28,48.0
2017-03-29,50.0
2017-03-30,47.0
2017-03-31,46.0
2017-04-01,45.0
2017-04-02,45.0
2017-04-03,47.0
2017-04-04,51.0
2017-04-05,55.0
2017-04-06,54.0
2017-04-07,55.0
2017-04-08,53.0
2017-04-09,49.0
2017-04-10,46.0
2017-04-11,46.0
2017-04-12,41.0
2017-04-13,46.0
2017-04-14,41.0
2017-04-15,43.0
2017-04-16,45.0
2017-04-17,45.0
2017-04-18,44.0
2017-04-19,
2017-04-20,44.0
2017-04-21,46.0
2017-04-22,50.0
2017-04-23,47.0
2017-04-24,47.0
2017-04-25,50.0
2017-04-26,52.0
2017-04-27,50.0
2017-04-28,44.0
2017-04-29,43.0
2017-04-30,40.0
2017-05-01,41.0
2017-05-02,42.0
2017-05-03,42.0
2017-05-04,49.0
2017-05-05,49.0
2017-05-06,51.0
2017-05-07,48.0
2017-05-08,48.0
2017-05-09,46.0
2017-05-10,44.0
2017-05-11,43.0
2017-05-12,48.0
2017-05-13,47.0
2017-05-14,46.0
2017-05-15,44.0
2017-05-16,44.0
2017-05-17,44.0
2017-05-18,42.0
2017-05-19,43.0
2017-05-20,48.0
2017-05-21,50.0
2017-05-22,53.0
2017-05-23,54.0
2017-05-24,48.0
2017-05-25,46.0
2017-05-26,43.0
2017-05-27,41.0
2017-05-28,41.0
2017-05-29,46.0
2017-05-30,46.0
2017-05-31,51.0
2017-06-01,54.0
2017-06-02,54.0
2017-06-03,54.0
2017-06-04,54.0
2017-06-05,51.0
2017-06-06,51.0
2017-06-07,53.0
2017-06-08,56.0
2017-06-09,56.0
2017-06-10,53.0
2017-06-11,51.0
2017-06-12,50.0
2017-06-13,50.0
2017-06-14,48.0
2017-06-15,47.0
2017-06-16,49.0
2017-06-17,51.0
2017-06-18,53.0
2017-06-19,56.0
2017-06-20,56.0
2017-06-21,55.0
